borough	leggi_year	domestic_coal	domestic_electricity	domestic_gas	domestic_oil	domestic_total	industrial_and_commercial_coal	industrial_and_commercial_electricity_w_o_rail	industrial_and_commercial_gas	industrial_and_commercial_oil	industrial_and_commercial_total	industrial_and_commercial_waste_and_renewables	total_total	transport_aviation	transport_railways_diesel	transport_railways_electric	transport_road_transport	transport_shipping	transport_total	gss
Wandsworth	2014	1.375137938	227.6158234	262.2341829	1.544266167	492.7694104	0	204.0777768	103.1383228	5.046354629	317.0716294	4.809175215	1040.809863	13.4899079	1.456241724	43.28922017	172.623718	0.109735513	230.9688233	E09000032
Wandsworth	2015	1.464980824	192.6574449	268.2600397	1.554223516	463.936689	0.026949937	147.7303984	108.6863263	6.289356727	268.1380767	5.405045312	953.4848373	13.52793835	1.456241724	37.22241954	169.091776	0.111696034	221.4100716	E09000032
Wandsworth	2016	1.324196338	153.4154767	276.2439149	1.571271955	432.5548598	0.017500875	147.9033418	126.2025997	6.032089998	256.2029677	5.815748203	903.2362599	13.62340704	1.298701963	29.76831285	169.7625999	0.025410508	214.4784323	E09000032
Wandsworth	2017	1.566230182	138.1139667	291.6013877	1.433479931	432.7150645	0.016185094	139.8242527	115.0456102	6.163475768	239.9543978	5.775815381	859.8280765	14.02114783	1.35320786	26.87094137	144.9062065	0.007110696	187.1586142	E09000032
Westminster	2010	0.906071087	267.8656964	223.4018706	4.758817712	496.9324557	0.044021992	1798.474398	572.2293079	17.61787088	2388.365599	0	3212.433061	0	3.634069863	64.71501208	258.6086106	0.177314209	327.1350068	E09000033
Westminster	2011	0.838808168	245.7344508	183.3371765	3.689456773	433.5998923	0.037249378	1605.052862	473.7134069	15.20933603	2094.012855	0	2854.747754	0	3.634069863	64.71501208	258.6086106	0.177314209	327.1350068	E09000033
Westminster	2012	0.811111672	249.4630075	198.0117758	3.734686541	452.0205814	0.036597284	1667.507353	528.8830753	13.72116099	2210.148187	0	2989.303775	0	3.634069863	64.71501208	258.6086106	0.177314209	327.1350068	E09000033
Westminster	2013	1.140758781	246.7204409	201.7140521	3.78844773	453.3636995	0.992298247	1651.911933	545.4357248	53.93554032	2252.275496	0	3043.784452	0	4.012615767	77.7287208	255.2435713	1.160347969	338.1452558	E09000033
Westminster	2014	0.403857754	222.9969671	179.0829645	3.287175101	405.7709645	0.638082635	1500.096514	408.8395201	56.76695813	1967.587509	1.246434904	2708.731602	0	2.974162546	69.0165076	261.6420081	1.740449997	335.3731282	E09000033
Westminster	2015	0.427649328	187.570225	169.5636501	3.305087863	360.8666122	8.562985476	1197.811216	438.4642635	47.72674741	1693.966084	1.400871632	2375.198732	0	2.974162546	60.25270389	255.3986942	1.74047453	320.3660352	E09000033
Westminster	2016	0.387110577	150.0687256	176.112518	3.339137295	329.9074915	5.323307029	969.1529241	458.7445059	52.80438527	1439.230079	1.507316999	2071.191608	0	3.010230468	48.30236055	246.4595113	4.281935683	302.054038	E09000033
Westminster	2017	0.453593145	136.22905	182.7351884	3.006336205	322.4241677	4.912143415	864.7938182	494.82297	50.68067078	1373.105513	1.496967269	1984.283036	0	2.763730821	43.60105657	238.1613564	4.227210962	288.7533547	E09000033
